city_id,city_name
1319,Malalag
1291,Talisayan
1049,Matag-Ob
5,Las Piñas
1732,Tacloban City
1719,Dumaguete City
1209,Don Carlos
484,Calaca
1216,Libona
965,Santander
57,Zamboanga del Sur
599,Aborlan
757,Balete
1212,Kalilangan
141,San Ildefonso
774,Anini-y
1483,Balindong (Watu)
586,Bongabong
58,Zamboanga Sibugay
285,Aritao
935,Balamban
479,Agoncillo
779,Culasi
1248,Salvador
636,San Andres
1059,Tabango
1340,San Isidro
1641,Legazpi City
1793,Boliney
516,Jalajala
1776,Tandag City
250,Cabagan
1345,Antipas
1003,Balangiga
556,Calauag
1161,Aurora
1810,Flora
1423,Libjo (Abjor)
1409,Loreto
895,Buenavista
1470,Hadji Muhtamad
1623,Dasmarinas
399,Santa Rita
1192,Ipil
673,Balatan
1156,Sindangan
1226,Catarman
647,Libon
1658,Silay City
1362,Glan
860,Binalbagan
1157,Siocon
1084,San Isidro
689,Lupi
818,Anilao
1751,Malaybalay City
985,Santa Catalina
1434,General Luna
561,Plaridel
832,Dumangas
309,Dinalungan
1805,San Isidro
271,San Agustin
1693,Mandaue City
346,San Ildefonso
163,Bauang
1401,Remedios T. Romualdez
179,Aguilar
434,Santa Cruz
691,Milaor
396,San Luis
864,Enrique B. Magalona
129,Caoayan
1525,Datu Abdullah Sangki
1584,Simunul
1376,Surallah
1763,Panabo City
152,Sinait
464,Mabitac
1213,Kibawe
181,Anda
1215,Lantapan
1551,Sultan Kudarat
787,Sebaste
845,Oton
306,Baler
407,Concepcion
426,Iba
1439,Placer
557,Guinayangan
1302,Nabunturan
142,San Juan
175,Sudipen
1355,M'Lang
1407,Esperanza
704,Siruma
831,Dueñas
1786,Davao City
393,Mexico
1647,Roxas City
1308,Carmen
427,Masinloc
1276,Initao
183,Balungao
1338,Lupon
1363,Kiamba
150,Santo Domingo
804,Pontevedra
261,Luna
1413,San Luis
308,Dilasag
487,Ibaan
1217,Malitbog
1258,Calamba
982,Manjuyod
648,Malilipot
336,Hagonoy
239,Santa Ana
166,Luna
553,Unisan
1367,Malungon
900,Inabanga
1426,Tubajon
455,Alaminos
416,San Jose
1354,Midsayap
527,Infanta
1771,Bayugan City
221,Aparri
482,Balete
1723,Larena
1114,Zumarraga
582,Santa Cruz
844,New Lucena
1433,Del Carmen
696,Pasacao
1268,Tudela
260,Jones
1044,Kananga
950,Madridejos
1811,Santa Marcela
367,Pantabangan
1461,Marihatag
1358,President Roxas
871,Moises Padilla
390,Macabebe
16,Valenzuela
7,Malabon
1622,Cavite City
526,General Nakar
812,Nueva Valencia
327,Angat
1428,Alegria
1600,San Nicolas
937,Barili
76,Surigao del Norte
259,Ilagan City
1735,Paranas (Wright)
1086,San Roque
566,Buenavista
967,Sogod
23,Zambales
1289,Sugbongcogon
284,Ambaguio
1063,Tunga
94,Natonin
322,Orani
1602,Santa Barbara
1646,Sorsogon City
340,Norzagaray
276,San Mateo
494,Mataasnakahoy
617,Quezon
1031,Burauen
1002,Arteche
1111,Talalora
849,San Dionisio
408,Gerona
169,Rosario
1741,Dapitan City
1611,Villasis
1373,Norala
49,Kabugao
1270,Alubijid
1799,Luba
754,Santa Magdalena
873,Pontevedra
1800,Malibcong
428,Olongapo City
1634,Batangas City
1599,San Manuel
99,Tadian
69,Cotabato
1807,Tineg
303,Nagtipunan
997,Culaba
1446,Tagana-an
1726,San Juan
218,Alcala
515,Cardona
1315,Bansalan
1375,Santo Nino
23,Danglas
56,Zamboanga del Norte
